Group	Country	Rank	Jersey	Position	Age	Selections	Club	Player	Captain		
D	Costa Rica	28	7	Midfielder	30	55	Copenhagen   	Christian Bolanos	0		
D	Costa Rica	28	20	Midfielder	23	10	Vålerenga   	Diego Calvo	0		
D	Costa Rica	28	13	Midfielder	28	11	Herediano   	Esteban Granados	0		
D	Costa Rica	28	22	Midfielder	27	36	Herediano   	Jose Miguel Cubero	0		
D	Costa Rica	28	11	Midfielder	30	51	Aalesund   	Michael Barrantes	0		
D	Costa Rica	28	17	Midfielder	22	22	Saprissa   	Yeltsin Tejeda	0		
D	Costa Rica	28	10	Forward	28	62	PSV   	Bryan Ruiz 	1		
D	Costa Rica	28	9	Forward	21	33	Olympiacos   	Joel Campbell	0		
D	Costa Rica	28	21	Forward	24	25	Kuban Krasnodar  	Marco Urena	0		
D	Costa Rica	28	14	Forward	30	37	Cartagines   	Randall Brenes	0		
D	Italy	9	1	Goalie	36	139	Juventus   	Gianluigi Buffon 	1		
D	Italy	9	13	Goalie	21	0	Genoa   	Mattia Perin	0		
D	Italy	9	12	Goalie	27	8	Paris Saint-Germain  	Salvatore Sirigu	0		
D	Italy	9	15	Defender	33	47	Juventus   	Andrea Barzagli	0		
D	Italy	9	20	Defender	28	2	Parma   	Gabriel Paletta	0		
D	Italy	9	3	Defender	29	67	Juventus   	Giorgio Chiellini	0		
D	Italy	9	7	Defender	27	19	Milan   	Ignazio Abate	0		
D	Italy	9	19	Defender	27	36	Juventus   	Leonardo Bonucci	0		
D	Italy	9	4	Defender	24	1	Torino   	Matteo Darmian	0		
D	Italy	9	2	Defender	21	10	Milan   	Mattia De Sciglio	0		
D	Italy	9	14	Midfielder	29	34	Fiorentina   	Alberto Aquilani	0		
D	Italy	9	21	Midfielder	35	108	Juventus   	Andrea Pirlo	0		
D	Italy	9	6	Midfielder	27	19	Lazio   	Antonio Candreva	0		
D	Italy	9	8	Midfielder	28	43	Juventus   	Claudio Marchisio	0		
D	Italy	9	16	Midfielder	30	94	Roma   	Daniele De Rossi	0		
D	Italy	9	18	Midfielder	29	3	Parma   	Marco Parolo	0		
D	Italy	9	23	Midfielder	21	5	Paris Saint-Germain  	Marco Verratti	0		
D	Italy	9	5	Midfielder	31	20	Paris Saint-Germain  	Thiago Motta	0		
D	Italy	9	11	Forward	26	11	Torino   	Alessio Cerci	0		
D	Italy	9	10	Forward	31	36	Parma   	Antonio Cassano	0		
D	Italy	9	17	Forward	24	2	Torino   	Ciro Immobile	0		
D	Italy	9	22	Forward	23	4	Napoli   	Lorenzo Insigne	0		
D	Italy	9	9	Forward	23	29	Milan   	Mario Balotelli	0		
D	Uruguay	7	1	Goalie	27	57	Galatasaray   	Fernando Muslera	0		
D	Uruguay	7	23	Goalie	31	4	Vasco da Gama 	Martin Silva	0		
D	Uruguay	7	12	Goalie	32	0	Libertad   	Rodrigo Munoz	0		
D	Uruguay	7	3	Defender	28	76	Atletico Madrid  	Diego Godin	0		
D	Uruguay	7	2	Defender	33	93	West Bromwich Albion 	Diego Lugano 	1		
D	Uruguay	7	13	Defender	29	41	Porto   	Jorge Fucile	0		
D	Uruguay	7	19	Defender	19	5	Atletico Madrid  	Jose Maria Gimenez	0		
D	Uruguay	7	22	Defender	27	56	Juventus   	Martin Caceres	0		
D	Uruguay	7	16	Defender	29	89	Benfica   	Maxi Pereira	0		
D	Uruguay	7	4	Defender	23	14	Nacional   	Sebastian Coates	0		
D	Uruguay	7	20	Midfielder	29	42	Lazio   	alvaro Gonzalez	0		
D	Uruguay	7	6	Midfielder	28	56	São Paulo  	alvaro Pereira	0		
D	Uruguay	7	7	Midfielder	28	72	Atletico Madrid  	Cristian Rodriguez	0		
D	Uruguay	7	15	Midfielder	34	89	Bologna   	Diego Perez	0		
D	Uruguay	7	17	Midfielder	32	54	Morelia   	Egidio Arevalo Rios	0		
D	Uruguay	7	18	Midfielder	23	28	Southampton   	Gaston Ramirez	0		
D	Uruguay	7	14	Midfielder	25	26	Botafogo   	Nicolas Lodeiro	0		
D	Uruguay	7	5	Midfielder	29	62	Parma   	Walter Gargano	0		
D	Uruguay	7	8	Forward	23	12	Palermo   	Abel Hernandez	0		
D	Uruguay	7	11	Forward	27	9	Espanyol   	Christian Stuani	0		
D	Uruguay	7	10	Forward	35	109	Cerezo Osaka  	Diego Forlan	0		
D	Uruguay	7	21	Forward	27	61	Paris Saint-Germain  	Edinson Cavani	0		
D	Uruguay	7	9	Forward	27	77	Liverpool   	Luis Suarez	0		
E	Ecuador	26	12	Goalie	25	3	El Nacional  	Adrian Bone	0		
E	Ecuador	26	22	Goalie	27	18	LDU Quito  	Alexander Dominguez	0		
E	Ecuador	26	1	Goalie	28	24	Barcelona   	Maximo Banguera	0		
E	Ecuador	26	3	Defender	26	36	Flamengo   	Frickson Erazo	0		
E	Ecuador	26	21	Defender	29	22	Emelec   	Gabriel Achilier	0		
E	Ecuador	26	2	Defender	32	58	Emelec   	Jorge Guagua	0		
E	Ecuador	26	4	Defender	26	37	Barcelona   	Juan Carlos Paredes	0		
E	Ecuador	26	18	Defender	31	21	Emelec   	oscar Bagüi	0		
E	Ecuador	26	10	Defender	34	89	Pachuca   	Walter Ayovi	0		
E	Ecuador	26	16	Midfielder	28	70	Manchester United  	Antonio Valencia 	1		
E	Ecuador	26	23	Midfielder	19	2	VfB Stuttgart  	Carlos Gruezo	0		
E	Ecuador	26	6	Midfielder	29	41	Dynamo Moscow  	Christian Noboa	0		
E	Ecuador	26	8	Midfielder	35	109	Santa Fe  	Edison Mendez	0		
E	Ecuador	26	20	Midfielder	24	8	Tijuana   	Fidel Martinez	0		
E	Ecuador	26	7	Midfielder	24	39	Morelia   	Jefferson Montero	0		
E	Ecuador	26	9	Midfielder	24	29	Cruz Azul  	Joao Rojas	0		
E	Ecuador	26	19	Midfielder	30	48	Barcelona   	Luis Saritama	0		
E	Ecuador	26	15	Midfielder	27	20	Atlante   	Michael Arroyo	0		
E	Ecuador	26	5	Midfielder	23	17	Vitesse   	Renato Ibarra	0		
E	Ecuador	26	14	Midfielder	32	81	Al-Hilal   	Segundo Castillo	0		
E	Ecuador	26	13	Forward	25	9	Pachuca   	Enner Valencia	0		
E	Ecuador	26	11	Forward	25	49	Al-Jazira   	Felipe Caicedo	0		
E	Ecuador	26	17	Forward	26	30	Tijuana   	Jaime Ayovi	0		
E	France	17	1	Goalie	27	56	Tottenham Hotspur  	Hugo Lloris 	1		
E	France	17	23	Goalie	35	11	Bastia   	Mickael Landreau	0		
E	France	17	16	Goalie	27	2	Saint-etienne   	Stephane Ruffier	0		
E	France	17	15	Defender	31	40	Arsenal   	Bacary Sagna	0		
E	France	17	13	Defender	23	3	Porto   	Eliaquim Mangala	0		
E	France	17	21	Defender	28	17	Arsenal   	Laurent Koscielny	0		
E	France	17	17	Defender	20	2	Paris Saint-Germain  	Lucas Digne	0		
E	France	17	5	Defender	24	18	Liverpool   	Mamadou Sakho	0		
E	France	17	2	Defender	28	20	Newcastle United  	Mathieu Debuchy	0		
E	France	17	3	Defender	33	57	Manchester United  	Patrice Evra	0		
E	France	17	4	Defender	21	5	Real Madrid  	Raphael Varane	0		
E	France	17	11	Midfielder	23	3	Real Sociedad  	Antoine Griezmann	0		
E	France	17	14	Midfielder	27	22	Paris Saint-Germain  	Blaise Matuidi	0		
E	France	17	22	Midfielder	24	1	Southampton   	Morgan Schneiderlin	0		
E	France	17	7	Midfielder	24	1	Montpellier	Remy Cabella	0		
E	France	17	8	Midfielder	29	33	Marseille   	Mathieu Valbuena	0		
E	France	17	18	Midfielder	24	16	Newcastle United  	Moussa Sissoko	0		
E	France	17	19	Midfielder	21	10	Juventus   	Paul Pogba	0		
E	France	17	12	Midfielder	30	11	Lille   	Rio Mavuba	0		
E	France	17	6	Midfielder	28	29	Paris Saint-Germain  	Yohan Cabaye	0		
E	France	17	10	Forward	26	65	Real Madrid  	Karim Benzema	0		
E	France	17	20	Forward	27	24	Newcastle United  	Loec Remy	0		
E	France	17	9	Forward	27	29	Arsenal   	Olivier Giroud	0		
E	Honduras	33	22	Goalie	34	26	Olimpia   	Donis Escober	0		
E	Honduras	33	1	Goalie	20	0	Real Espana  	Luis Lopez	0		
E	Honduras	33	18	Goalie	37	121	Olimpia   	Noel Valladares 	1		
E	Honduras	33	23	Defender	28	22	Olimpia   	Brayan Beckeles	0		
E	Honduras	33	7	Defender	28	67	Celtic   	Emilio Izaguirre	0		
E	Honduras	33	6	Defender	26	33	Wigan Athletic  	Juan Carlos Garcia	0		
E	Honduras	33	4	Defender	28	11	Motagua   	Juan Pablo Montes	0		
E	Honduras	33	3	Defender	31	104	Hull City  	Maynor Figueroa	0		
E	Honduras	33	2	Defender	29	54	Qingdao Jonoon  	Osman Chavez	0		
E	Honduras	33	5	Defender	32	77	San Jose Earthquakes 	Victor Bernardez	0		
E	Honduras	33	21	Midfielder	21	16	Anderlecht   	Andy Najar	0		
E	Honduras	33	12	Midfielder	27	25	Real Espana  	Edder Delgado	0		
E	Honduras	33	20	Midfielder	28	48	Motagua   	Jorge Claros	0		
E	Honduras	33	19	Midfielder	23	19	Olimpia   	Luis Garrido	0		
E	Honduras	33	10	Midfielder	24	35	Real Espana  	Mario Martinez	0		
E	Honduras	33	17	Midfielder	30	41	Chivas USA  	Marvin Chavez	0		
E	Honduras	33	14	Midfielder	29	92	Houston Dynamo  	oscar Garcia	0		
E	Honduras	33	15	Midfielder	27	41	Wigan Athletic  	Roger Espinoza	0		
E	Honduras	33	8	Midfielder	29	94	Stoke City  	Wilson Palacios	0		
E	Honduras	33	13	Forward	31	69	Real Espana  	Carlo Costly	0		
E	Honduras	33	11	Forward	27	43	New Angleterre Revolution 	Jerry Bengtson	0		
E	Honduras	33	9	Forward	32	23	Alajuelense   	Jerry Palacios	0		
E	Honduras	33	16	Forward	25	12	Real Sociedad  	Rony Martinez	0		
E	Switzerland	6	1	Goalie	30	56	VfL Wolfsburg  	Diego Benaglio	0		
E	Switzerland	6	21	Goalie	23	0	Grasshopper   	Roman Bürki	0		
E	Switzerland	6	12	Goalie	25	6	Basel   	Yann Sommer	0		
E	Switzerland	6	22	Defender	22	5	Basel   	Fabian Schär	0		
E	Switzerland	6	20	Defender	27	44	Hamburger SV  	Johan Djourou	0		
E	Switzerland	6	6	Defender	23	5	Grasshopper   	Michael Lang	0		
E	Switzerland	6	4	Defender	29	53	Valencia   	Philippe Senderos	0		
E	Switzerland	6	3	Defender	28	35	Sassuolo   	Reto Ziegler	0		
E	Switzerland	6	13	Defender	21	20	VfL Wolfsburg  	Ricardo Rodriguez	0		
E	Switzerland	6	2	Defender	30	62	Juventus   	Stephan Lichtsteiner	0		
E	Switzerland	6	5	Defender	30	40	Young Boys  	Steve von Bergen	0		
E	Switzerland	6	15	Midfielder	28	33	Napoli   	Blerim Dzemaili	0		
E	Switzerland	6	16	Midfielder	27	47	SC Freiburg  	Gelson Fernandes	0		
E	Switzerland	6	8	Midfielder	29	71	Napoli   	Gökhan Inler 	1		
E	Switzerland	6	10	Midfielder	21	25	Borussia Mönchengladbach  	Granit Xhaka	0		
E	Switzerland	6	7	Midfielder	29	73	Eintracht Frankfurt  	Tranquillo Barnetta	0		
E	Switzerland	6	14	Midfielder	25	23	Basel   	Valentin Stocker	0		
E	Switzerland	6	11	Midfielder	29	47	Napoli   	Valon Behrami	0		
E	Switzerland	6	23	Midfielder	22	32	Bayern Munich  	Xherdan Shaqiri	0		
E	Switzerland	6	18	Forward	23	20	SC Freiburg  	Admir Mehmedi	0		
E	Switzerland	6	9	Forward	22	10	Real Sociedad  	Haris Seferovic	0		
E	Switzerland	6	19	Forward	21	6	1. FC Nürnberg 	Josip Drmic	0		
E	Switzerland	6	17	Forward	24	10	Zürich   	Mario Gavranovic	0		
F	Argentina	5	12	Goalie	32	3	Boca Juniors  	Agustin Orion	0		
F	Argentina	5	21	Goalie	30	10	Catania   	Mariano Andujar	0		
F	Argentina	5	1	Goalie	27	45	Monaco   	Sergio Romero	0		
F	Argentina	5	2	Defender	27	18	Benfica   	Ezequiel Garay	0		
F	Argentina	5	17	Defender	25	24	Napoli   	Federico Fernandez	0		
F	Argentina	5	3	Defender	33	13	Internazionale   	Hugo Campagnaro	0		
F	Argentina	5	23	Defender	30	8	Monterrey   	Jose Maria Basanta	0		
F	Argentina	5	16	Defender	24	20	Sporting   	Marcos Rojo	0		
F	Argentina	5	15	Defender	33	37	Manchester City  	Martin Demichelis	0		
F	Argentina	5	4	Defender	29	36	Manchester City  	Pablo Zabaleta	0		
F	Argentina	5	7	Midfielder	26	45	Real Madrid  	angel di Maria	0		
F	Argentina	5	13	Midfielder	28	7	Celta Vigo  	Augusto Fernandez	0		
F	Argentina	5	8	Midfielder	28	5	Benfica   	Enzo Perez	0		
F	Argentina	5	5	Midfielder	28	47	Boca Juniors  	Fernando Gago	0		
F	Argentina	5	14	Midfielder	29	96	Barcelona   	Javier Mascherano	0		
F	Argentina	5	6	Midfielder	28	16	Lazio   	Lucas Biglia	0		
F	Argentina	5	11	Midfielder	33	53	Newell's Old Boys 	Maxi Rodriguez	0		
F	Argentina	5	19	Midfielder	26	5	Internazionale   	Ricardo alvarez	0		
F	Argentina	5	22	Forward	29	29	Paris Saint-Germain  	Ezequiel Lavezzi	0		
F	Argentina	5	9	Forward	26	36	Napoli   	Gonzalo Higuain	0		
F	Argentina	5	10	Forward	26	84	Barcelona   	Lionel Messi 	1		
F	Argentina	5	18	Forward	32	15	Internazionale   	Rodrigo Palacio	0		
F	Argentina	5	20	Forward	26	50	Manchester City  	Sergio Agüero	0		
F	Bosnia-Herzegovina	21	22	Goalie	33	3	and Herzegovina Borac Banja	Asmir Avdukic	0		
F	Bosnia-Herzegovina	21	1	Goalie	26	30	Stoke City  	Asmir Begovic	0		
F	Bosnia-Herzegovina	21	12	Goalie	28	0	VfR Aalen  	Jasmin Fejzic	0		
F	Bosnia-Herzegovina	21	2	Defender	28	13	Hajduk Split  	Avdija Vrsajevic	0		
F	Bosnia-Herzegovina	21	4	Defender	33	74	Bayer Leverkusen  	Emir Spahic 	1		
F	Bosnia-Herzegovina	21	3	Defender	24	7	Eintracht Braunschweig  	Ermin Bicakcic	0		
F	Bosnia-Herzegovina	21	13	Defender	30	24	SC Freiburg  	Mensur Mujdza	0		
F	Bosnia-Herzegovina	21	7	Defender	21	9	Ferencvaros   	Muhamed Besic	0		
F	Bosnia-Herzegovina	21	6	Defender	24	13	Elazığspor   	Ognjen Vranjes	0		
F	Bosnia-Herzegovina	21	5	Defender	20	4	Schalke 4  	Sead Kolasinac	0		
F	Bosnia-Herzegovina	21	15	Defender	25	7	Zorya Luhansk  	Toni sunjic	0		
F	Bosnia-Herzegovina	21	20	Midfielder	24	2	Sturm Graz  	Anel Hadzic	0		
F	Bosnia-Herzegovina	21	18	Midfielder	29	35	Gaziantepspor   	Haris Medunjanin	0		
F	Bosnia-Herzegovina	21	14	Midfielder	22	7	Galatasaray   	Izet Hajrovic	0		
F	Bosnia-Herzegovina	21	8	Midfielder	24	48	Roma   	Miralem Pjanic	0		
F	Bosnia-Herzegovina	21	23	Midfielder	29	42	1899 Hoffenheim  	Sejad Salihovic	0		
F	Bosnia-Herzegovina	21	16	Midfielder	28	33	Lazio   	Senad Lulic	0		
F	Bosnia-Herzegovina	21	17	Midfielder	28	42	Kayseri Erciyesspor  	Senijad Ibricic	0		
F	Bosnia-Herzegovina	21	21	Midfielder	22	2	Hajduk Split  	Tino-Sven Susic	0		
F	Bosnia-Herzegovina	21	10	Midfielder	32	82	Guizhou Renhe  	Zvjezdan Misimovic	0		
F	Bosnia-Herzegovina	21	11	Forward	28	62	Manchester City  	Edin Dzeko	0		
F	Bosnia-Herzegovina	21	19	Forward	24	10	İstanbul BB  	Edin Visca	0		
F	Bosnia-Herzegovina	21	9	Forward	29	55	VfB Stuttgart  	Vedad Ibisevic	0		
F	Iran	43	12	Goalie	26	5	Sporting Covilhã  	Alireza Haghighi	0		
F	Iran	43	22	Goalie	26	4	Eintracht Braunschweig  	Daniel Davari	0		
F	Iran	43	1	Goalie	33	10	Sepahan   	Rahman Ahmadi	0		
F	Iran	43	17	Defender	31	9	Naft Tehran  	Ahmad Alnameh	0		
F	Iran	43	5	Defender	32	16	Esteghlal   	Amir Hossein Sadeghi	0		
F	Iran	43	19	Defender	30	17	Esteghlal   	Hashem Beikzadeh	0		
F	Iran	43	13	Defender	27	21	Persepolis   	Hossein Mahini	0		
F	Iran	43	4	Defender	32	84	Persepolis   	Jalal Hosseini	0		
F	Iran	43	23	Defender	27	19	Persepolis   	Mehrdad Pouladi	0		
F	Iran	43	15	Defender	30	21	Umm Salal  	Pejman Montazeri	0		
F	Iran	43	20	Defender	27	6	Vancouver Whitecaps  	Steven Beitashour	0		
F	Iran	43	14	Midfielder	31	78	Esteghlal   	Andranik Teymourian	0		
F	Iran	43	21	Midfielder	27	13	Fulham   	Ashkan Dejagah	0		
F	Iran	43	18	Midfielder	22	4	Foolad   	Bakhtiar Rahmani	0		
F	Iran	43	3	Midfielder	24	61	Sepahan   	Ehsan Hajsafi	0		
F	Iran	43	11	Midfielder	30	16	Zob Ahan  	Ghasem Haddadifar	0		
F	Iran	43	6	Midfielder	33	139	Al-Kuwait   	Javad Nekounam 	1		
F	Iran	43	2	Midfielder	30	48	Esteghlal   	Khosro Heydari	0		
F	Iran	43	7	Midfielder	29	49	Las Palmas  	Masoud Shojaei	0		
F	Iran	43	8	Midfielder	25	7	Persepolis   	Reza Haghighi	0		
F	Iran	43	9	Forward	20	6	NEC   	Alireza Jahanbakhsh	0		
F	Iran	43	10	Forward	24	41	Tractor Sazi  	Karim Ansarifard	0		
F	Iran	43	16	Forward	26	13	Charlton Athletic  	Reza Ghoochannejhad	0		
F	Nigeria	44	16	Goalie	30	32	Hapoel Be'er Sheva 	Austin Ejide	0		
F	Nigeria	44	21	Goalie	29	11	Gombe United  	Chigozie Agbim	0		
F	Nigeria	44	1	Goalie	31	90	Lille   	Vincent Enyeama 	1		
F	Nigeria	44	6	Defender	24	32	Warri Wolves  	Azubuike Egwuekwe	0		
F	Nigeria	44	5	Defender	25	36	Celtic   	Efe Ambrose	0		
F	Nigeria	44	14	Defender	23	35	caykur Rizespor  	GoDefenderrey Oboabona	0		
F	Nigeria	44	2	Defender	33	96	Norwich City  	Joseph Yobo	0		
F	Nigeria	44	13	Defender	23	10	Ashdod   	Juwon Oshaniwa	0		
F	Nigeria	44	22	Defender	20	17	Middlesbrough   	Kenneth Omeruo	0		
F	Nigeria	44	12	Defender	24	10	Sunshine Stars  	Kunle Odunlami	0		
F	Nigeria	44	3	Defender	26	42	Monaco   	Uwa Elderson Echiejile	0		
F	Nigeria	44	10	Midfielder	27	59	Chelsea   	John Obi Mikel	0		
F	Nigeria	44	18	Midfielder	21	4	Volyn Lutsk  	Michael Babatunde	0		
F	Nigeria	44	17	Midfielder	21	20	Lazio   	Ogenyi Onazi	0		
F	Nigeria	44	15	Midfielder	21	1	Almeria   	Ramon Azeez	0		
F	Nigeria	44	4	Midfielder	23	11	Waasland-Beveren   	Reuben Gabriel	0		
F	Nigeria	44	11	Midfielder	23	20	Liverpool   	Victor Moses	0		
F	Nigeria	44	7	Forward	21	35	CSKA Moscow  	Ahmed Musa	0		
F	Nigeria	44	9	Forward	27	22	Fenerbahce   	Emmanuel Emenike	0		
F	Nigeria	44	20	Forward	24	3	Cercle Brugge  	Michael Uchebo	0		
F	Nigeria	44	8	Forward	32	60	Stoke City  	Peter Odemwingie	0		
F	Nigeria	44	23	Forward	32	6	Newcastle United  	Shola Ameobi	0		
F	Nigeria	44	19	Forward	22	6	Heerenveen   	Uche Nwofor	0		
G	Germany	2	1	Goalie	28	45	Bayern Munich  	Manuel Neuer	0		
G	Germany	2	22	Goalie	33	2	Borussia Dortmund  	Roman Weidenfeller	0		
G	Germany	2	12	Goalie	25	3	Hannover 96  	Ron-Robert Zieler	0		
G	Germany	2	4	Defender	26	20	Schalke 4  	Benedikt Höwedes	0		
G	Germany	2	15	Defender	22	1	Borussia Dortmund  	Erik Durm	0		
G	Germany	2	20	Defender	25	38	Bayern Munich  	Jerôme Boateng	0		
G	Germany	2	2	Defender	25	4	Borussia Dortmund  	Kevin Großkreutz	0		
G	Germany	2	5	Defender	25	29	Borussia Dortmund  	Mats Hummels	0		
G	Germany	2	17	Defender	29	97	Arsenal   	Per Mertesacker	0		
G	Germany	2	16	Defender	30	105	Bayern Munich  	Philipp Lahm 	1		
G	Germany	2	9	Midfielder	23	32	Chelsea   	Andre Schürrle	0		
G	Germany	2	7	Midfielder	29	101	Bayern Munich  	Bastian Schweinsteiger	0		
G	Germany	2	23	Midfielder	23	2	Borussia Mönchengladbach  	Christoph Kramer	0		
G	Germany	2	14	Midfielder	20	11	Schalke 4  	Julian Draxler	0		
G	Germany	2	19	Midfielder	22	28	Bayern Munich  	Mario Götze	0		
G	Germany	2	3	Midfielder	20	2	SC Freiburg  	Matthias Ginter	0		
G	Germany	2	8	Midfielder	25	54	Arsenal   	Mesut Özil	0		
G	Germany	2	6	Midfielder	27	45	Real Madrid  	Sami Khedira	0		
G	Germany	2	13	Midfielder	24	48	Bayern Munich  	Thomas Müller	0		
G	Germany	2	18	Midfielder	24	43	Bayern Munich  	Toni Kroos	0		
G	Germany	2	10	Forward	29	113	Arsenal   	Lukas Podolski	0		
G	Germany	2	11	Forward	35	131	Lazio   	Miroslav Klose	0		
G	Germany	2	21	Défenseur	22	1	Sampdoria	Shkodran Mustafi	0		
G	USA	13	12	Goalie	29	25	Aston Villa  	Brad Guzan	0		
G	USA	13	22	Goalie	34	14	Real Salt Lake 	Nick Rimando	0		
G	USA	13	1	Goalie	35	99	Everton   	Tim Howard	0		
G	USA	13	7	Defender	32	115	Puebla   	DaMarcus Beasley	0		
G	USA	13	2	Defender	20	4	Seattle Sounders FC 	DeAndre Yedlin	0		
G	USA	13	23	Defender	26	21	1899 Hoffenheim  	Fabian Johnson	0		
G	USA	13	20	Defender	28	26	Stoke City  	Geoff Cameron	0		
G	USA	13	6	Defender	21	4	Hertha BSC  	John Brooks	0		
